step,error,energy,q0,q1,q2,q3,q4,q5
29,0.103407,0.0165252,-0.0118551,-0.011621,0.0550949,-0.0251624,-0.00332415,0.00608596
30,0.113143,0.00660835,-0.0127798,-0.0127393,0.0503559,-0.0237165,-0.00579877,-0.00179865
31,0.107189,0.00898697,-0.0115556,-0.0108692,0.0602667,-0.0265999,-0.00463542,-0.00898808
32,0.122915,0.0204119,-0.012876,-0.0171504,0.0647357,-0.0241106,-0.00840845,-0.0049191
33,0.1322,0.0185834,-0.00909438,-0.0130654,0.0641414,-0.0238783,-0.00516696,-0.0108298
34,0.126176,0.00771711,-0.0156215,-0.016214,0.0625891,-0.0254057,-0.00314706,-0.0101017
35,0.133079,0.00532958,-0.0163714,-0.0160243,0.0620863,-0.025156,-0.00687278,-0.00993769
36,0.136449,0.0189681,-0.0199771,-0.0133537,0.0607346,-0.0292229,-0.0028676,-0.0189497
37,0.145106,0.0101014,-0.0159831,-0.00818886,0.0598258,-0.0263506,-0.0107551,-0.0203153
38,0.141419,0.0105551,-0.0243707,-0.0113158,0.0605496,-0.0338159,-0.00866518,-0.016724
39,0.155441,0.00625273,-0.0282074,-0.0224857,0.055347,-0.0310803,-0.0168364,-0.0110445
40,0.165001,0.00776066,-0.02187,-0.0223009,0.0609569,-0.0383409,-0.0244293,-0.0105202
41,0.178418,0.0283737,-0.0205733,-0.0248812,0.0573617,-0.0453866,-0.0253211,-0.0183396
42,0.191863,0.014391,-0.0201593,-0.0269983,0.059515,-0.0554262,-0.0231845,-0.0187804
43,0.204064,0.0266359,-0.0171993,-0.0260405,0.0610001,-0.0490027,-0.0267289,-0.0201538
44,0.200125,0.0215378,-0.0112029,-0.0207658,0.0582702,-0.0544634,-0.0286201,-0.0225949
45,0.195917,0.00843818,-0.0131181,-0.0204161,0.0576675,-0.0540893,-0.0292403,-0.0187953
46,0.193327,0.014034,-0.0113417,-0.0146252,0.0514491,-0.0537356,-0.0239826,-0.00635584
47,0.16149,0.0127583,-0.00846419,-0.00476119,0.0553859,-0.0445036,-0.0234151,-0.0209782
48,0.157508,0.0179919,-0.00834469,-0.00729262,0.0661322,-0.0394926,-0.0237955,-0.0131921
49,0.15825,0.0105066,-0.00898638,0.00232693,0.0610489,-0.034702,-0.0225574,-0.0221161
50,0.151738,0.0338641,-0.00636947,-0.00477323,0.0626357,-0.0357723,-0.0198834,-0.0211854
51,0.150619,0.00518529,-0.00450303,-0.00824655,0.0687401,-0.0394541,-0.0159185,-0.0303514
52,0.167214,0.0182866,0.00252524,-0.00843298,0.067661,-0.0405036,-0.0219441,-0.0398341
53,0.180901,0.030596,-1.62176e-05,-0.00755722,0.0587435,-0.0396146,-0.0155927,-0.038064
54,0.159588,0.0297203,0.000581769,-0.00426387,0.0579074,-0.0385881,-0.0173912,-0.0371405
55,0.155873,0.0205334,0.00937913,-0.00845163,0.0607608,-0.0352736,-0.0175543,-0.0323329
56,0.163752,0.0253419,0.016881,-0.0133488,0.0605475,-0.0393355,-0.0229201,-0.0252652
57,0.178298,0.0118582,0.0164878,-0.0318732,0.0597159,-0.043141,-0.0212646,-0.0319055
58,0.204388,0.0250369,0.0074698,-0.0260087,0.054327,-0.0416046,-0.0235088,-0.0262003
59,0.179119,0.0194314,0.0184043,-0.027516,0.0515697,-0.0358093,-0.0279814,-0.028287
60,0.189568,0.0230892,0.0122067,-0.0219329,0.0552545,-0.0349149,-0.036613,-0.0276815
61,0.188604,0.021019,0.0143541,-0.0166112,0.0492488,-0.0356474,-0.0311667,-0.0246166
62,0.171645,0.012814,0.00938517,-0.0224643,0.0445574,-0.0318119,-0.0344514,-0.0255932
63,0.168263,0.0145572,-0.000202962,-0.0142681,0.0398546,-0.038645,-0.0393437,-0.013748
64,0.146062,0.0131462,0.00494578,-0.01291,0.0403831,-0.0456282,-0.0354394,-0.0112026
65,0.150509,0.0318046,0.0110791,-0.00605236,0.0304673,-0.0436701,-0.0439559,-0.0134005
66,0.148625,0.017747,0.0132594,-0.0161804,0.0231553,-0.0408756,-0.0416248,-0.015508
67,0.150603,0.0166948,0.0207985,-0.0107668,0.0206421,-0.0311386,-0.0440106,-0.0146328
68,0.14199,0.0120286,0.0167132,-0.0135499,0.0216814,-0.0267583,-0.0407705,-0.00571242
69,0.125186,0.00978026,0.00982499,-0.0150688,0.0170839,-0.0308516,-0.0379626,-0.00585332
70,0.116645,0.00924096,0.0131732,-0.0184166,0.0175038,-0.0282271,-0.0379348,-0.0113175
71,0.126573,0.0128116,0.00797639,-0.0183464,0.0122214,-0.0203518,-0.0330853,-0.00925891
72,0.10124,0.0287113,0.00657206,-0.0223304,0.0152438,-0.0121721,-0.034609,-0.0108389
73,0.101766,0.0105339,0.0103168,-0.0206689,0.0216819,-0.0172734,-0.0379729,-0.00632808
74,0.114242,0.0295241,0.00693481,-0.0181436,0.0198986,-0.00989777,-0.0386909,-0.00500791
75,0.0985736,0.0208643,0.00381007,-0.0149425,0.0231924,-0.0108165,-0.046433,0.00127312
76,0.100468,0.024865,0.00671779,-0.0179565,0.0173071,-0.00307845,-0.0433438,1.49261e-05
77,0.0884185,0.0109072,0.0124445,-0.0197947,0.0219159,-0.0125636,-0.0416035,0.00190047
78,0.110223,0.00745611,0.00274349,-0.0239495,0.0227881,-0.011071,-0.0389018,0.00856072
79,0.108015,0.0161586,-0.00106008,-0.0258337,0.021456,-0.00294773,-0.0351324,0.00312444
80,0.0895543,0.0171768,-0.00301002,-0.0284018,0.0185351,-0.00229938,-0.032638,-0.00415255
81,0.0890369,0.0195365,-0.00445477,-0.0359437,0.0186533,0.00148442,-0.0310805,0.000957912
82,0.0925746,0.0212714,0.00300186,-0.0295392,0.0135816,0.00229041,-0.030424,-0.00461988
83,0.083457,0.00677101,0.00151369,-0.0253476,0.0162051,0.00101449,-0.0211837,-0.00706383
84,0.0723284,0.00310804,-0.01043,-0.0292034,0.0238264,-0.0131888,-0.0252134,0.0013387
85,0.103201,0.0206681,-0.0136237,-0.0370735,0.0279891,-0.00622915,-0.0352661,0.000906607
86,0.121088,0.0132021,-0.0151903,-0.0420905,0.0223562,-0.00904114,-0.0423063,0.00191658
87,0.132901,0.0231303,-0.00294207,-0.0405289,0.0202233,-0.00724081,-0.0292547,0.00624958
88,0.106439,0.0362,0.00152508,-0.038212,0.0261827,-0.0113429,-0.0231911,-0.00437794
89,0.104832,0.0237107,0.00902383,-0.0306753,0.0256439,-0.0129276,-0.024606,-0.0104896
90,0.113366,0.0160032,0.00503095,-0.0238257,0.0248403,-0.0169852,-0.0211858,-0.0198253
91,0.111693,0.0217803,0.00149473,-0.023568,0.0254582,-0.0218544,-0.0152671,-0.0189827
92,0.106625,0.00998088,-0.000986592,-0.0274686,0.0222226,-0.0211307,-0.015419,-0.0186651
93,0.105893,0.0347186,-0.00774235,-0.0290182,0.0260375,-0.0154075,-0.0200269,-0.0161152
94,0.114348,0.0263543,-0.00512181,-0.0340273,0.0118028,-0.00787524,-0.0206217,-0.0205286
95,0.0999773,0.00818969,-0.00101914,-0.0323943,0.0125497,-0.0126559,-0.020011,-0.015562
96,0.0941921,0.0108477,0.00265589,-0.0325012,0.0205357,-0.0111152,-0.0220684,-0.0212016
97,0.110078,0.0109684,0.00117215,-0.0301771,0.0230282,-0.00705559,-0.0265314,-0.020914
98,0.108878,0.0184916,-0.00230523,-0.0250682,0.0266078,-0.000734584,-0.0273013,-0.0268683
99,0.108885,0.0121382,-0.00386081,-0.0308419,0.0206584,-0.00753127,-0.0217734,-0.0338206
100,0.118486,0.0223057,-0.0122418,-0.0311404,0.0164315,-0.0115683,-0.0159779,-0.0330093
101,0.120369,0.0252085,-0.00772609,-0.0304911,0.0233111,-0.0150712,-0.0126374,-0.0267328
102,0.11597,0.0246267,-0.00863024,-0.0286207,0.0262354,-0.0184953,-0.0130999,-0.0284772
103,0.123559,0.0216868,-0.00662919,-0.0349483,0.033699,-0.017163,-0.00986045,-0.0267176
104,0.129018,0.0157169,-0.00662845,-0.03391,0.0378576,-0.0117171,-0.0125489,-0.0307891
105,0.133451,0.0116251,-0.00760041,-0.029936,0.0384029,-0.00717094,-0.0169083,-0.0346979
106,0.134717,0.0300557,-0.0104531,-0.0398904,0.0434731,-0.00451682,-0.00869412,-0.0333034
107,0.140331,0.0187978,-0.0130742,-0.032614,0.0485316,0.00183211,-0.0134535,-0.0386642
108,0.14817,0.0198252,-0.0134232,-0.0307687,0.0507595,0.00829922,-0.0207506,-0.0464668
109,0.170468,0.0251761,-0.00443513,-0.0280969,0.04253,0.0106343,-0.018749,-0.0486622
110,0.153108,0.0175754,-0.0017661,-0.0336474,0.0415891,0.00731681,-0.0262707,-0.0488408
111,0.159431,0.0317241,0.00217851,-0.0351219,0.0432602,0.0071056,-0.0317574,-0.047662
112,0.167086,0.0138161,-0.00206933,-0.0351206,0.0411236,0.00153518,-0.0342642,-0.0509648
113,0.165078,0.017693,-0.00542114,-0.0312007,0.0455349,0.0159109,-0.039527,-0.059847
114,0.197442,0.0256698,-0.00474572,-0.0271152,0.0518403,0.0138632,-0.0421335,-0.0554017
115,0.1951,0.0031965,-0.00352495,-0.0299151,0.0493445,0.0116677,-0.0405398,-0.0566982
116,0.19169,0.0113636,-0.00455479,-0.0315807,0.0548638,0.0119239,-0.0396868,-0.0565298
117,0.19914,0.0297364,-0.00184289,-0.0268851,0.0482385,0.020127,-0.0432779,-0.0694417
118,0.209813,0.0143934,-0.0047807,-0.0223897,0.0353016,0.0154328,-0.0329284,-0.0717974
119,0.18263,0.0108404,0.00472558,-0.018854,0.0288043,0.0199282,-0.0364004,-0.0758211
120,0.184533,0.0116912,0.00376811,-0.0103296,0.0281206,0.0210849,-0.0377967,-0.0659691
121,0.167069,0.0178908,0.0100943,-0.0102059,0.0350176,0.0184464,-0.0272051,-0.0695058
122,0.170475,0.0106692,0.00571608,-0.0055506,0.0376137,0.0155609,-0.0216304,-0.0715886
123,0.15766,0.0126252,0.0082586,-0.00745533,0.0351023,0.0231646,-0.0301881,-0.0775625
124,0.181731,0.0171809,0.0109308,-0.00989611,0.0346881,0.0254756,-0.033209,-0.0695571
125,0.183757,0.00723843,0.0115084,-0.00977121,0.0291051,0.0292476,-0.037475,-0.0673785
126,0.184486,0.017752,0.00795256,-0.0089444,0.0323758,0.0250696,-0.0348024,-0.0696198
127,0.178765,0.013178,0.00437907,-0.0133291,0.0343632,0.0305073,-0.0261206,-0.0712481
128,0.179947,0.00377563,-4.59349e-05,-0.0142969,0.0266405,0.0285816,-0.0224933,-0.0605366
129,0.152595,0.0139167,-0.010422,-0.0162001,0.0243845,0.0321842,-0.0188956,-0.058561
130,0.160647,0.0143864,-0.0097731,-0.0228579,0.0197916,0.0360929,-0.0155577,-0.0612754
131,0.165349,0.0160896,-0.0208497,-0.0237961,0.0172703,0.0316428,-0.00961666,-0.0596204
132,0.162796,0.0191108,-0.0188939,-0.0306659,0.0149036,0.0274033,-0.0113928,-0.0601214
133,0.163381,0.0226384,-0.0230345,-0.028293,0.0239473,0.0305359,-0.0175402,-0.0608683
134,0.184219,0.0107028,-0.0132789,-0.0201039,0.0243645,0.0393701,-0.00493567,-0.0645993
135,0.166652,0.023369,-0.0176714,-0.0136994,0.0185841,0.037814,-0.000125779,-0.0670007
136,0.154895,0.0303683,-0.0210608,-0.0141476,0.0126996,0.0407298,-0.00518496,-0.0598139
137,0.153637,0.0159854,-0.0201325,-0.0152599,0.0212244,0.0422147,0.00380516,-0.057653
138,0.16029,0.0219226,-0.0152925,-0.010049,0.015336,0.0400182,0.00924805,-0.0629742
139,0.152918,0.0180756,-0.0219482,-0.0102489,0.0161536,0.0321507,0.0155906,-0.0688218
140,0.164914,0.0209227,-0.0158928,-0.00842189,0.013612,0.0307288,0.0188243,-0.0657533
141,0.153233,0.022419,-0.0157871,-0.00881847,0.00802602,0.0248759,0.0217698,-0.0618484
142,0.141126,0.0251533,-0.0177254,-0.0127237,0.0126503,0.0262966,0.0277939,-0.0642865
143,0.161476,0.0136042,-0.0204137,-0.0118117,0.00406032,0.030975,0.0244819,-0.0667059
144,0.158449,0.0193754,-0.0222697,-0.0108781,0.00118959,0.027537,0.0217236,-0.0721519
145,0.15575,0.0245823,-0.0195163,-0.00983533,0.00426816,0.0333664,0.0188744,-0.0758926
146,0.161753,0.0199651,-0.0195906,-0.0120502,0.00300417,0.0348789,0.0220397,-0.0786208
147,0.170184,0.0226503,-0.0262085,-0.0111347,0.00143655,0.0376746,0.0287698,-0.0837814
148,0.189006,0.0138925,-0.0357239,-0.00661479,-0.00354959,0.0318152,0.0313551,-0.0828123
149,0.191871,0.0198339,-0.0389566,-0.00165564,-0.00565,0.0309726,0.0317213,-0.0898219
150,0.198778,0.0148794,-0.0278188,0.00263117,-0.00799999,0.0287652,0.0308969,-0.0863707
151,0.184483,0.0102098,-0.0250443,-0.000164971,-0.00663396,0.0350189,0.0349166,-0.080226
152,0.182005,0.0169608,-0.0316219,-2.43466e-05,-0.00829682,0.0265257,0.0475201,-0.0781646
153,0.192153,0.0109868,-0.0355985,0.00625411,-0.00759092,0.0255759,0.0425412,-0.0798204
154,0.197381,0.00745122,-0.0324967,0.0145674,-0.00845683,0.0225465,0.0443204,-0.0844098
155,0.206798,0.00124562,-0.0388391,0.0212009,-0.0130631,0.0223592,0.0431937,-0.0896711
156,0.228327,0.0305464,-0.0365417,0.0132524,-0.015025,0.0205864,0.0390124,-0.0886242
157,0.213042,0.0170839,-0.0333601,0.0120606,-0.0131213,0.0271782,0.0393741,-0.0817706
158,0.206865,0.0214506,-0.0390665,0.0198448,-0.0118046,0.0204243,0.0341286,-0.077283
159,0.202552,0.0199596,-0.0436751,0.0161856,-0.0213468,0.0208134,0.0368517,-0.0726016
160,0.211474,0.0304385,-0.0465881,0.0138195,-0.0238649,0.0220143,0.0351314,-0.0750127
161,0.216431,0.00625782,-0.0483831,0.0187149,-0.020719,0.0170546,0.031756,-0.0778371
162,0.214465,0.0286972,-0.05319,0.0160784,-0.0180288,0.0179413,0.0302379,-0.0704575
163,0.205934,0.00870827,-0.055047,0.0117788,-0.0111177,0.0138422,0.0326491,-0.0686553
164,0.19309,0.0317202,-0.0459132,0.00710129,-0.0135966,0.0252928,0.0288513,-0.0643147
165,0.18507,0.0244456,-0.0452382,0.00290739,-0.0175234,0.023134,0.033634,-0.0601473
166,0.182584,0.0153901,-0.0443372,0.000860737,-0.0176807,0.0209431,0.0267729,-0.0621974
167,0.172792,0.00871987,-0.0463215,0.0029786,-0.0183718,0.0276091,0.0186686,-0.0671066
168,0.181056,0.0252968,-0.0462041,0.00740821,-0.03712,0.0337334,0.0211353,-0.0684741
169,0.214075,0.0128453,-0.0557004,0.00912642,-0.035153,0.0331638,0.0258301,-0.0595237
170,0.218497,0.00605751,-0.0672314,0.0106562,-0.0381343,0.0334169,0.0267217,-0.0639537
171,0.240114,0.0132557,-0.0617041,0.013136,-0.0434912,0.0355828,0.030847,-0.0580356
172,0.242797,0.0102259,-0.0607141,0.0136886,-0.044357,0.0328203,0.0280819,-0.0618419
173,0.241504,0.0126418,-0.0647901,0.0272734,-0.0397609,0.0357486,0.0197869,-0.0575304
174,0.24489,0.0221306,-0.0678018,0.030635,-0.0439217,0.0324911,0.0251051,-0.0485943
175,0.248549,0.0128658,-0.0748514,0.0288939,-0.0445979,0.0345806,0.023373,-0.0508639
176,0.257161,0.00651239,-0.0728068,0.0248303,-0.0494323,0.0389975,0.0157099,-0.0446975
177,0.246474,0.0182829,-0.0776522,0.0228957,-0.0438,0.0393237,0.0144309,-0.0408127
178,0.238915,0.0215032,-0.0740793,0.0235882,-0.0420203,0.0343558,0.0159273,-0.0358671
179,0.225838,0.0255556,-0.0852536,0.0259359,-0.0510711,0.0365746,0.00949718,-0.0342692
180,0.242602,0.0200801,-0.0838945,0.033536,-0.0435814,0.0361825,0.00508065,-0.0281991
181,0.230474,0.0161239,-0.0803938,0.0306207,-0.0471031,0.0329994,-0.00603557,-0.0259447
182,0.223097,0.0261125,-0.0822594,0.0219736,-0.0433099,0.0329684,-0.0144691,-0.027934
183,0.222914,0.0178306,-0.0804557,0.0130944,-0.0485877,0.0347066,-0.0222106,-0.0206515
184,0.219706,0.0120223,-0.0719347,0.0113522,-0.0508683,0.0352374,-0.0253159,-0.0231419
185,0.217851,0.011988,-0.0720676,0.00753313,-0.0550125,0.0373561,-0.02616,-0.021864
186,0.219993,0.0161181,-0.076029,0.00399101,-0.0609712,0.0406801,-0.0240687,-0.0179043
187,0.223644,0.0195394,-0.0804262,0.000797389,-0.0598431,0.0447964,-0.0225961,-0.0138553
188,0.222314,0.0150365,-0.0801319,0.00648268,-0.0608768,0.0447694,-0.0216039,-0.0200331
189,0.233898,0.0110956,-0.0856848,0.0110883,-0.0682412,0.0425807,-0.0260962,-0.0209172
190,0.254608,0.0127473,-0.0922872,-0.000764086,-0.0616798,0.0459582,-0.0178975,-0.0305013
191,0.249088,0.0347721,-0.0823654,-0.00722595,-0.0695057,0.0452377,-0.0158292,-0.0304352
192,0.250599,0.0172508,-0.073243,-0.0112215,-0.066551,0.0420645,-0.0177834,-0.0321163
193,0.24298,0.00617662,-0.0737015,-0.00244725,-0.0704124,0.043618,-0.0192677,-0.0247369
194,0.234184,0.0203636,-0.0721867,-0.0080113,-0.0686736,0.0493285,-0.0195555,-0.0318606
195,0.249616,0.0141563,-0.0759339,0.000245364,-0.0681339,0.0532383,-0.00455247,-0.0381762
196,0.24028,0.0145418,-0.0815933,0.00179812,-0.0715165,0.0611795,0.000946598,-0.0405471
197,0.257581,0.0156249,-0.0871651,-0.00441475,-0.077983,0.0684033,0.00716767,-0.0306429
198,0.275777,0.0176864,-0.0780386,-0.0101128,-0.0832522,0.0724701,0.00945668,-0.0254414
199,0.278772,0.0179154,-0.0824457,-0.00397986,-0.0828081,0.0747358,0.00970627,-0.0276316
200,0.281307,0.00880994,-0.0825543,-0.0132942,-0.0849839,0.0824491,0.00962801,-0.0284509
201,0.30136,0.00989333,-0.073105,-0.016615,-0.0958409,0.0885478,0.000190149,-0.0286488
202,0.302948,0.0254746,-0.0750685,-0.0123057,-0.0928224,0.0907807,0.00159369,-0.0362879
203,0.308859,0.0121254,-0.0751134,-0.00841208,-0.0863253,0.087288,-0.00136838,-0.0268867
204,0.285394,0.0136722,-0.0664713,-0.00634393,-0.0813933,0.0907508,0.000419277,-0.024676
205,0.270055,0.0221907,-0.0645205,-0.0222069,-0.0832467,0.0907981,0.00389767,-0.0251999
206,0.28987,0.0237467,-0.0646732,-0.0145668,-0.0828405,0.100156,0.00283712,-0.0285642
207,0.293638,0.0166549,-0.0702264,-0.0167425,-0.0752295,0.0925491,0.00178918,-0.0354857
208,0.292022,0.0281861,-0.0637257,-0.0200326,-0.0737763,0.0894979,-0.00120684,-0.0380775
209,0.286317,0.0148167,-0.0666824,-0.0164017,-0.0818992,0.091841,-0.00441818,-0.0384601
210,0.299703,0.0232816,-0.065546,-0.0128079,-0.0820961,0.0924719,0.00244276,-0.034893
211,0.290258,0.0329036,-0.0660566,-0.0212731,-0.0822331,0.0866771,0.0108107,-0.0321492
212,0.2992,0.0103824,-0.0623575,-0.0168782,-0.07594,0.084888,0.0234044,-0.0286217
213,0.29209,0.0172798,-0.0668571,-0.0122207,-0.0783806,0.0927871,0.017683,-0.0236445
214,0.291573,0.0247529,-0.0629636,-0.0182572,-0.0784562,0.0908394,0.0164388,-0.0285517
215,0.295507,0.0148198,-0.0733589,-0.0193631,-0.0790779,0.0880534,0.0100952,-0.0188587
216,0.288807,0.0406,-0.0778114,-0.0201727,-0.0659812,0.0835025,0.00907518,-0.0224359
217,0.278979,0.023515,-0.0835891,-0.0176002,-0.0653202,0.0803225,0.00946331,-0.0219622
218,0.278257,0.00873498,-0.0857095,-0.0158397,-0.0687428,0.0751897,0.0112814,-0.0215411
219,0.278304,0.0111966,-0.0842167,-0.0136297,-0.0708494,0.0681447,0.0105748,-0.0261884
220,0.273604,0.0115242,-0.0807951,-0.0101219,-0.0747354,0.0687109,0.0132923,-0.0341758
221,0.281831,0.0221034,-0.0773687,-0.00896406,-0.0744402,0.0767384,0.0136492,-0.0312071
222,0.282368,0.014593,-0.0782419,-0.0048803,-0.0659776,0.0751048,0.0162536,-0.0249479
223,0.265406,0.0198191,-0.0687734,-0.0023064,-0.063105,0.0824698,0.0137897,-0.0221934
224,0.252638,0.0173959,-0.070253,0.00075715,-0.065111,0.0724727,0.0150962,-0.0236561
225,0.247346,0.0212426,-0.0670004,-0.00119159,-0.0684481,0.0760961,0.0190482,-0.0230056
226,0.25479,0.0236711,-0.061556,0.000949724,-0.0612145,0.0777984,0.0303585,-0.0207449
227,0.252622,0.026129,-0.0622263,-0.00237606,-0.0671006,0.0847257,0.042037,-0.0198673
228,0.278333,0.0165439,-0.0626843,0.000668524,-0.0670073,0.084522,0.043693,-0.0219649
229,0.28054,0.0147656,-0.0699056,-0.000525072,-0.0600921,0.0835288,0.035713,-0.0275587
230,0.277323,0.00880032,-0.0670169,-0.00320781,-0.0686461,0.0809925,0.0367866,-0.0388863
231,0.295536,0.0190366,-0.0621428,-0.0055262,-0.0800648,0.0844835,0.0388644,-0.047219
232,0.318301,0.0237964,-0.0586467,-0.00844266,-0.081331,0.0906055,0.0346905,-0.0436522
233,0.317368,0.0174825,-0.0535093,-0.00720862,-0.0840621,0.100069,0.036071,-0.0500052
234,0.330926,0.0207256,-0.0604601,-0.019367,-0.0932652,0.0959235,0.039562,-0.0509638
235,0.359542,0.0196602,-0.058496,-0.0109281,-0.0946303,0.097546,0.0377698,-0.0485758
236,0.347946,0.0070688,-0.058031,-0.00679525,-0.0901933,0.0942632,0.0329522,-0.0521504
237,0.334385,0.0147958,-0.0461944,-0.00273248,-0.0783205,0.0867161,0.0315031,-0.0446379
238,0.290104,0.0127265,-0.0548891,0.000103132,-0.0780478,0.0832295,0.0324389,-0.038563
239,0.287271,0.010017,-0.0520503,-0.00160894,-0.0762494,0.0890827,0.0325319,-0.0333946
240,0.284918,0.0173441,-0.0474339,-0.0053941,-0.0786715,0.0837723,0.0274881,-0.0319827
241,0.274743,0.0130972,-0.0539594,-0.00800072,-0.0772304,0.0850523,0.0261343,-0.0288148
242,0.279192,0.0195833,-0.0535333,-0.00915621,-0.0733671,0.0829529,0.0257951,-0.0330703
243,0.277875,0.0212348,-0.053543,-0.00703559,-0.0781111,0.0913018,0.0279494,-0.0357436
244,0.293684,0.0125221,-0.0614521,-0.00597887,-0.078107,0.0875272,0.0276193,-0.0386699
245,0.299354,0.00838966,-0.0594105,-0.0118067,-0.0678108,0.08894,0.0368011,-0.0369886
246,0.301758,0.0282174,-0.0561925,-0.0130136,-0.0669961,0.08902,0.032845,-0.0318522
247,0.289919,0.0267065,-0.0581438,-0.010624,-0.0648656,0.0841439,0.0414458,-0.0337363
248,0.292959,0.0235402,-0.0591528,-0.0192853,-0.0564213,0.0924227,0.0430458,-0.0371343
249,0.307462,0.0162459,-0.0561478,-0.0172023,-0.0608982,0.0971712,0.0328148,-0.0378823
250,0.302116,0.0326703,-0.0507502,-0.0267252,-0.0627005,0.103438,0.0368481,-0.0440293
251,0.324491,0.0158885,-0.0509605,-0.0305708,-0.0647021,0.108375,0.0451828,-0.0519926
252,0.351783,0.0263645,-0.0492354,-0.0326276,-0.0627541,0.102456,0.0468263,-0.0489263
253,0.342825,0.0157732,-0.0483911,-0.0339922,-0.0634726,0.105099,0.0387271,-0.0582208
254,0.347903,0.0179851,-0.0487163,-0.0370108,-0.0621465,0.103185,0.0392834,-0.0507644
255,0.341106,0.00486569,-0.0437672,-0.0275429,-0.0534015,0.102211,0.0383938,-0.0513453
256,0.316662,0.0240213,-0.0506335,-0.0337219,-0.061034,0.101367,0.0439593,-0.055157
257,0.345873,0.0113771,-0.0494252,-0.0259243,-0.0589257,0.093579,0.0475852,-0.0618668
258,0.337306,0.0396918,-0.0559195,-0.0263642,-0.0561294,0.09797,0.042144,-0.060643
259,0.33917,0.0178395,-0.0533107,-0.0269402,-0.0611665,0.0913276,0.0454861,-0.055226
260,0.333457,0.0157875,-0.0574561,-0.0228428,-0.0578577,0.0914419,0.043027,-0.054627
261,0.327252,0.0142281,-0.0544759,-0.0184929,-0.0693639,0.0901425,0.0463889,-0.0568122
262,0.335676,0.0183493,-0.0517725,-0.022333,-0.0669198,0.0886743,0.0450454,-0.060827
263,0.335572,0.0249943,-0.0492405,-0.0186303,-0.063835,0.0894278,0.0424301,-0.0623185
264,0.325882,0.030266,-0.0578876,-0.0154808,-0.0650158,0.0844268,0.0413264,-0.0681339
265,0.332271,0.0151468,-0.061998,-0.0181168,-0.0697284,0.0847245,0.0369826,-0.0654269
